DIA;I;H;R;D
0;6904;3404;517;277
1;8325;3794;530;294
2;9677;5457;1028;473
3;12078;6099;1081;557
4;15328;8073;1107;712
5;17685;9921;1395;900
6;21783;12126;1939;1204
7;24618;14508;2425;1529
8;28414;17419;2738;1937
9;34193;19948;3066;2414
10;40599;22510;4093;2918
11;47453;25600;5318;3417
12;53072;29106;7009;3978
13;58394;32227;9179;4675
14;62231;34360;11253;5313
15;66610;36591;12655;5930
16;73607;38219;14293;6517
17;77986;39772;16946;7204
18;82502;41322;19826;7910
19;86446;42569;22664;8600
20;89916;43538;25584;9236
21;92426;44138;28552;9781
22;94388;44811;30349;10295
23;97150;45159;32470;10890
24;99405;45265;35771;11514
25;101254;45636;39102;12090
26;102255;46042;42155;12612
27;103979;46129;44851;13022
28;105073;51096;47416;13530
29;106420;52449;49125;13951
30;106728;52626;51537;14390
31;108608;52749;54202;14823
32;110041;53072;57500;15275
33;112166;53155;60176;15726
34;114175;53506;61387;16164
35;115758;53835;63666;16520
