DAY;I;R;D
0;6904;517;277
1;8325;530;294
2;9677;1028;473
3;12078;1081;557
4;15328;1107;712
5;17685;1395;900
6;21783;1939;1204
7;24618;2425;1529
8;28414;2738;1937
9;34193;3066;2414
10;40599;4093;2918
11;47453;5318;3417
12;53072;7009;3978
13;58394;9179;4675
14;62231;11253;5313
15;66610;12655;5930
16;73607;14293;6517
17;77986;16946;7204
18;82502;19826;7910
19;86446;22664;8600
20;89916;25584;9236
21;92426;28552;9781
22;94388;30349;10295
23;97150;32470;10890
24;99405;35771;11514
25;101254;39102;12090
26;102255;42155;12612
27;103979;44851;13022
28;105073;47416;13530
29;106420;49125;13951
30;106728;51537;14390
31;108608;54202;14823
32;110041;57500;15275
33;112166;60176;15726
